candidate_id,game,derivative_type,market_ticker,original_label,replayed_label,process_grade,inning,proposed_side,entry_price_cents,situational_score,situational_label,market_expression_score,market_expression_grade,execution_score,conservative_net_edge_cents,paper_take_eligible_from_execution_model,funnel_stage,final_decision,failed_reason,near_miss_type,settlement_result,paper_net_pnl_cents,outcome_bucket
807,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,4,YES,,50,interesting_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
808,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,suppress,bad_process,2,YES,29,45,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
809,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,5,YES,,50,interesting_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
810,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,suppress,bad_process,3,YES,29,45,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
811,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,5,YES,,61,strong_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
812,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,suppress,bad_process,3,YES,29,45,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
813,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,blocked,questionable_process,3,YES,29,56,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
814,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,5,YES,,50,interesting_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
815,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,5,YES,,61,strong_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
816,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,suppress,bad_process,5,YES,,25,bad_read,0,weak,51,16,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
817,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,5,YES,,36,weak_read,0,weak,51,16,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
818,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,watch,observe,bad_process,1,YES,58,50,interesting_read,5,weak,76,33,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-58,observe_lost
819,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,blocked,questionable_process,4,YES,29,61,strong_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
820,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,suppress,bad_process,6,YES,,25,bad_read,0,weak,51,16,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
821,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,blocked,blocked,sound_process,1,YES,58,61,strong_read,5,weak,76,33,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-58,observe_lost
822,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,watch,observe,bad_process,1,YES,58,50,interesting_read,5,weak,76,33,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-58,observe_lost
823,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,suppress,bad_process,6,YES,,25,bad_read,0,weak,51,16,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
824,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,1,YES,34,50,interesting_read,20,weak,100,57,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-34,observe_lost
825,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,watch,suppress,bad_process,6,YES,57,25,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_and_lost,loss,-57,suppress_lost
826,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,4,YES,,61,strong_read,10,weak,0,-36,False,SITUATIONAL_READ,observe,weak_market_expression,strong_read_but_failed_friction,unknown,,no_outcome
827,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,2,YES,34,50,interesting_read,20,weak,100,57,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-34,observe_lost
828,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,blocked,blocked,questionable_process,6,YES,57,36,weak_read,20,weak,100,66,True,RAW_CANDIDATE,observe,weak_situational_read,bad_read_and_lost,loss,-57,observe_lost
829,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,2,YES,34,50,interesting_read,20,weak,100,57,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-34,observe_lost
830,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,4,YES,,50,interesting_read,10,weak,0,-36,False,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
831,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,blocked,blocked,questionable_process,4,YES,,61,strong_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
832,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,5,YES,,50,interesting_read,10,weak,0,-36,False,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
833,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,3,YES,34,50,interesting_read,20,weak,100,57,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-34,observe_lost
834,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,4,YES,,50,interesting_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
835,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,5,YES,,50,interesting_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
836,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,2,YES,24,43,weak_read,7,weak,100,64,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
837,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,3,YES,34,50,interesting_read,20,weak,100,57,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-34,observe_lost
838,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,2,YES,24,43,weak_read,7,weak,100,64,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
839,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,blocked,blocked,questionable_process,3,YES,34,61,strong_read,20,weak,100,57,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-34,observe_lost
840,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,watch,blocked,bad_process,3,NO,9,0,bad_read,20,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_and_lost,loss,-9,suppress_lost
841,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,5,YES,,50,interesting_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
842,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,blocked,blocked,questionable_process,5,YES,,61,strong_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
843,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,blocked,blocked,sound_process,2,YES,24,54,interesting_read,7,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
844,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,5,YES,,50,interesting_read,10,weak,0,-36,False,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
845,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,watch,blocked,bad_process,4,NO,9,1,bad_read,20,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_and_lost,loss,-9,suppress_lost
846,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,blocked,blocked,questionable_process,5,YES,,61,strong_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
847,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,3,YES,24,43,weak_read,7,weak,100,64,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
848,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,5,YES,,50,interesting_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
849,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,6,YES,,50,interesting_read,10,weak,0,-36,False,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
850,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,6,YES,,50,interesting_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
851,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,blocked,blocked,sound_process,3,YES,24,54,interesting_read,7,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
852,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,blocked,blocked,questionable_process,4,NO,9,1,bad_read,20,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_and_lost,loss,-9,suppress_lost
853,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,3,YES,24,43,weak_read,7,weak,100,64,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
854,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,blocked,blocked,questionable_process,4,NO,9,12,bad_read,20,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_and_lost,loss,-9,suppress_lost
855,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,3,YES,24,43,weak_read,7,weak,100,64,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
856,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,6,YES,,50,interesting_read,10,weak,0,-36,False,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
857,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,6,YES,,50,interesting_read,20,weak,73,31,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
858,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,3,YES,24,43,weak_read,7,weak,100,64,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
859,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,5,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
860,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,6,YES,,50,interesting_read,20,weak,100,53,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
861,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,blocked,blocked,questionable_process,8,NO,,38,weak_read,20,weak,100,82,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
862,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,observe,bad_process,3,YES,87,43,weak_read,20,weak,41,9,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
863,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,blocked,blocked,sound_process,6,YES,,50,interesting_read,5,weak,0,-34,False,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
864,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,5,NO,45,33,weak_read,20,weak,100,66,True,RAW_CANDIDATE,observe,weak_situational_read,bad_read_but_would_have_won,win,52,observe_won
865,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,blocked,blocked,questionable_process,6,YES,,61,strong_read,20,weak,100,53,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
866,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,blocked,blocked,questionable_process,8,NO,,38,weak_read,20,weak,100,82,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
867,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,blocked,blocked,questionable_process,8,NO,,38,weak_read,20,weak,100,82,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
868,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,3,YES,87,54,interesting_read,20,weak,41,9,True,SITUATIONAL_READ,observe,weak_market_expression,good_read_bad_price,unknown,,no_outcome
869,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,5,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
870,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,blocked,blocked,questionable_process,8,NO,,27,bad_read,20,weak,100,82,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
871,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,blocked,blocked,questionable_process,9,NO,,22,bad_read,20,weak,100,82,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
872,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,observe,bad_process,3,YES,87,43,weak_read,20,weak,41,9,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
873,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,5,NO,45,33,weak_read,20,weak,100,66,True,RAW_CANDIDATE,observe,weak_situational_read,bad_read_but_would_have_won,win,52,observe_won
874,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,3,NO,28,0,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
875,DET@HOU,f5_total,KXMLBF5TOTAL-26JUN152010DETHOU-1,watch,blocked,bad_process,3,NO,6,0,bad_read,13,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
876,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,3,YES,87,18,bad_read,20,weak,41,9,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
877,MIA@PHI,fg_total,KXMLBTOTAL-26JUN151840MIAPHI-6,blocked,blocked,questionable_process,9,NO,,33,weak_read,20,weak,100,82,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
878,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,4,NO,28,5,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
879,DET@HOU,f5_total,KXMLBF5TOTAL-26JUN152010DETHOU-1,watch,blocked,bad_process,4,NO,6,1,bad_read,13,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
880,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,4,YES,87,23,bad_read,20,weak,41,9,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
881,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,4,NO,28,16,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
882,DET@HOU,f5_total,KXMLBF5TOTAL-26JUN152010DETHOU-1,blocked,blocked,sound_process,4,NO,6,12,bad_read,13,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
883,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,4,YES,87,34,weak_read,20,weak,41,9,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
884,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,6,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
885,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,watch,suppress,bad_process,6,YES,88,10,bad_read,20,weak,21,-5,False,RAW_CANDIDATE,suppress,bad_situational_read,,push,0,no_outcome
886,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,4,NO,28,5,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
887,DET@HOU,f5_total,KXMLBF5TOTAL-26JUN152010DETHOU-1,blocked,blocked,sound_process,4,NO,6,1,bad_read,13,weak,100,93,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
888,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,4,YES,87,23,bad_read,20,weak,41,9,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
889,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,6,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
890,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,watch,suppress,bad_process,6,YES,88,10,bad_read,20,weak,21,-5,False,RAW_CANDIDATE,suppress,bad_situational_read,,push,0,no_outcome
891,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,5,NO,28,5,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
892,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,5,YES,87,23,bad_read,20,weak,41,9,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
893,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,5,NO,28,16,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
894,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,5,YES,87,34,weak_read,20,weak,41,9,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
895,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,7,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
896,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,5,NO,28,16,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
897,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,5,YES,87,34,weak_read,20,weak,41,9,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
898,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,5,NO,28,5,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
899,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,5,YES,87,23,bad_read,20,weak,41,9,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
900,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,7,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
901,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,5,NO,28,5,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
902,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,5,YES,87,23,bad_read,20,weak,41,9,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
903,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,8,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
904,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,5,NO,28,16,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
905,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,5,YES,87,34,weak_read,20,weak,41,9,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
906,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,8,NO,45,22,bad_read,20,weak,100,66,True,RAW_CANDIDATE,suppress,bad_situational_read,bad_read_but_would_have_won,win,52,suppress_won
907,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,blocked,blocked,questionable_process,8,NO,45,33,weak_read,20,weak,100,66,True,RAW_CANDIDATE,observe,weak_situational_read,bad_read_but_would_have_won,win,52,observe_won
908,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,watch,watch,questionable_process,6,NO,28,5,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
909,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,watch,suppress,bad_process,6,YES,87,23,bad_read,20,weak,41,9,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
910,DET@HOU,fg_total,KXMLBTOTAL-26JUN152010DETHOU-7,blocked,blocked,questionable_process,6,NO,28,16,bad_read,20,weak,100,88,True,RAW_CANDIDATE,suppress,bad_situational_read,,unknown,,no_outcome
911,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,blocked,blocked,questionable_process,6,YES,87,34,weak_read,20,weak,41,9,True,RAW_CANDIDATE,observe,weak_situational_read,,unknown,,no_outcome
